,Unnamed: 0,From,To,id,description,created,isBanned,id2,name,displayName
0,905,1095911131,448397330,448397330,,2017-11-25T20:19:38.32Z,False,448397330,April_Coo,April_Coo
1,1236,1377443247,1448214635,1448214635,Hi,2020-02-08T00:32:25.54Z,False,1448214635,avanb_1234,avanb_1234
2,2002,2270859988,1883766790,1883766790,,2020-09-11T15:27:52.297Z,False,1883766790,valentina30719,valentina30719
3,2151,1639406541,394002506,394002506,,2017-09-17T01:44:16.183Z,False,394002506,ThePolarBearCub,ThePolarBearCub
4,4307,1166424923,1924399121,1924399121,hrihgbrdhdghbnkdljgbkjdrbgbgdjbgkbgr,2020-10-02T08:33:47.723Z,False,1924399121,glaflauk,glaflauk
5,5103,223431519,2242248746,2242248746,,2020-12-25T20:33:23.293Z,False,2242248746,SkaLife02,SkaLife02
6,5830,1300486377,130809936,130809936,Akmood is best yesyesyes,2016-06-01T00:09:14.263Z,False,130809936,AbdelEffect,AbdelEffect
7,17741,1069389934,532545544,532545544,you think your soo cool the girl you called fat died of cancer the boy yo call manly died a noob,2018-02-28T04:47:49.727Z,False,532545544,Daron3546,Daron3546
8,20036,309248911,121372737,121372737,"Eh,",2016-04-17T10:07:27.9Z,False,121372737,boss6198,boss6198
